dataset,initial_layout,neighbor_method,experiment_num,experiment_name,final_fitness,result_file,neighbor_short
wizard_oz,GA_Exp3,random,4,Logarithmic_Fast,123341.2,,global
wizard_oz,GA_Exp3,random,5,Logarithmic_Slow,123341.2,,global
wizard_oz,GA_Exp3,random,6,Linear_Aggressive,120763.7,,global
wizard_oz,GA_Exp3,random,7,Geometric_VeryHigh,123341.2,,global
wizard_oz,GA_Exp3,random,8,Geometric_UltraSlow,123341.2,,global
wizard_oz,GA_Exp4,local,1,Geometric_Fast,120633.7,,local
wizard_oz,GA_Exp4,local,2,Geometric_Balanced,120633.7,,local
wizard_oz,GA_Exp4,local,3,Geometric_Slow,120633.7,,local
wizard_oz,GA_Exp4,local,4,Logarithmic_Fast,120633.7,results/sa/wizard_oz/GA_Exp4/results.txt,local
wizard_oz,GA_Exp4,local,5,Logarithmic_Slow,120633.7,results/sa/wizard_oz/GA_Exp4/results.txt,local
wizard_oz,GA_Exp4,local,6,Linear_Aggressive,120633.7,results/sa/wizard_oz/GA_Exp4/results.txt,local
wizard_oz,GA_Exp4,local,7,Geometric_VeryHigh,120633.7,results/sa/wizard_oz/GA_Exp4/results.txt,local
wizard_oz,GA_Exp4,local,8,Geometric_UltraSlow,120633.7,results/sa/wizard_oz/GA_Exp4/results.txt,local
wizard_oz,GA_Exp4,random,1,Geometric_Fast,120633.7,,global
wizard_oz,GA_Exp4,random,2,Geometric_Balanced,120633.7,,global
wizard_oz,GA_Exp4,random,3,Geometric_Slow,120633.7,,global
wizard_oz,GA_Exp4,random,4,Logarithmic_Fast,120633.7,,global
wizard_oz,GA_Exp4,random,5,Logarithmic_Slow,120633.7,,global
wizard_oz,GA_Exp4,random,6,Linear_Aggressive,120633.7,,global
wizard_oz,GA_Exp4,random,7,Geometric_VeryHigh,120633.7,,global
wizard_oz,GA_Exp4,random,8,Geometric_UltraSlow,120633.7,,global
wizard_oz,QWERTY,local,1,Geometric_Fast,135902.7,,local
wizard_oz,QWERTY,local,2,Geometric_Balanced,137078.8,,local
wizard_oz,QWERTY,local,3,Geometric_Slow,135425.8,,local
wizard_oz,QWERTY,local,4,Logarithmic_Fast,162015.3,results/sa/wizard_oz/QWERTY/results.txt,local
wizard_oz,QWERTY,local,5,Logarithmic_Slow,166743.0,results/sa/wizard_oz/QWERTY/results.txt,local
wizard_oz,QWERTY,local,6,Linear_Aggressive,134013.8,results/sa/wizard_oz/QWERTY/results.txt,local
wizard_oz,QWERTY,local,7,Geometric_VeryHigh,137025.0,results/sa/wizard_oz/QWERTY/results.txt,local
wizard_oz,QWERTY,local,8,Geometric_UltraSlow,134920.0,results/sa/wizard_oz/QWERTY/results.txt,local
wizard_oz,QWERTY,random,1,Geometric_Fast,126285.2,,global
wizard_oz,QWERTY,random,2,Geometric_Balanced,124537.8,,global
wizard_oz,QWERTY,random,3,Geometric_Slow,120638.1,,global
wizard_oz,QWERTY,random,4,Logarithmic_Fast,125865.8,,global
wizard_oz,QWERTY,random,5,Logarithmic_Slow,126308.1,,global
wizard_oz,QWERTY,random,6,Linear_Aggressive,126527.9,,global
wizard_oz,QWERTY,random,7,Geometric_VeryHigh,127140.6,,global
wizard_oz,QWERTY,random,8,Geometric_UltraSlow,129703.9,,global
wizard_oz,QWERTZ,local,1,Geometric_Fast,151625.3,,local
wizard_oz,QWERTZ,local,2,Geometric_Balanced,136540.0,,local
wizard_oz,QWERTZ,local,3,Geometric_Slow,129159.3,,local
wizard_oz,QWERTZ,local,4,Logarithmic_Fast,183533.4,results/sa/wizard_oz/QWERTZ/results.txt,local
wizard_oz,QWERTZ,local,5,Logarithmic_Slow,175273.8,results/sa/wizard_oz/QWERTZ/results.txt,local
wizard_oz,QWERTZ,local,6,Linear_Aggressive,135776.9,results/sa/wizard_oz/QWERTZ/results.txt,local
wizard_oz,QWERTZ,local,7,Geometric_VeryHigh,139678.1,results/sa/wizard_oz/QWERTZ/results.txt,local
wizard_oz,QWERTZ,local,8,Geometric_UltraSlow,134893.5,results/sa/wizard_oz/QWERTZ/results.txt,local
wizard_oz,QWERTZ,random,1,Geometric_Fast,121733.0,,global
wizard_oz,QWERTZ,random,2,Geometric_Balanced,122153.3,,global
wizard_oz,QWERTZ,random,3,Geometric_Slow,120638.1,,global
wizard_oz,QWERTZ,random,4,Logarithmic_Fast,130413.2,,global
wizard_oz,QWERTZ,random,5,Logarithmic_Slow,136551.5,,global
wizard_oz,QWERTZ,random,6,Linear_Aggressive,123991.2,,global
wizard_oz,QWERTZ,random,7,Geometric_VeryHigh,126627.2,,global
wizard_oz,QWERTZ,random,8,Geometric_UltraSlow,128946.0,,global
wizard_oz,Random,local,1,Geometric_Fast,141960.8,,local
wizard_oz,Random,local,2,Geometric_Balanced,139004.2,,local
wizard_oz,Random,local,3,Geometric_Slow,132958.1,,local
wizard_oz,Random,local,4,Logarithmic_Fast,180297.4,results/sa/wizard_oz/Random/results.txt,local
wizard_oz,Random,local,5,Logarithmic_Slow,184491.0,results/sa/wizard_oz/Random/results.txt,local
wizard_oz,Random,local,6,Linear_Aggressive,135289.3,results/sa/wizard_oz/Random/results.txt,local
wizard_oz,Random,local,7,Geometric_VeryHigh,139909.8,results/sa/wizard_oz/Random/results.txt,local
wizard_oz,Random,local,8,Geometric_UltraSlow,135772.2,results/sa/wizard_oz/Random/results.txt,local
wizard_oz,Random,random,1,Geometric_Fast,122518.7,,global
wizard_oz,Random,random,2,Geometric_Balanced,126290.7,,global
wizard_oz,Random,random,3,Geometric_Slow,120638.1,,global
wizard_oz,Random,random,4,Logarithmic_Fast,132637.8,,global
wizard_oz,Random,random,5,Logarithmic_Slow,138620.1,,global
wizard_oz,Random,random,6,Linear_Aggressive,122579.6,,global
wizard_oz,Random,random,7,Geometric_VeryHigh,123105.2,,global
wizard_oz,Random,random,8,Geometric_UltraSlow,127466.7,,global
